customer_id,city,customer_type
CUST-00001,Makassar,Individual
CUST-00002,Makassar,Individual
CUST-00003,Makassar,Individual
CUST-00004,Denpasar,Individual
CUST-00005,Medan,nan
CUST-00006,Balikpapan,Corporate
CUST-00007,Bandung,nan
CUST-00008,Denpasar,Individual
CUST-00009,Bandung,Individual
CUST-00010,Semarang,Individual
CUST-00011,Palembang,Individual
CUST-00012,Balikpapan,Individual
CUST-00013,Palembang,nan
CUST-00014,Surabaya,nan
CUST-00015,Jakarta,Corporate
CUST-00016,Semarang,Individual
CUST-00017,Bandung,Corporate
CUST-00018,Yogyakarta,Corporate
CUST-00019,Denpasar,Corporate
CUST-00020,Semarang,Individual
CUST-00021,Yogyakarta,Individual
CUST-00022,Denpasar,Individual
CUST-00023,Yogyakarta,Corporate
CUST-00024,Semarang,Individual
CUST-00025,Denpasar,Individual
CUST-00026,Bandung,Individual
CUST-00027,Denpasar,Corporate
CUST-00028,Makassar,Individual
CUST-00029,Medan,Individual
CUST-00030,Palembang,Individual
CUST-00031,Balikpapan,Individual
CUST-00032,Medan,Individual
CUST-00033,Surabaya,Individual
CUST-00034,Denpasar,Corporate
CUST-00035,Semarang,Individual
CUST-00036,Yogyakarta,Corporate
CUST-00037,Makassar,Corporate
CUST-00038,Surabaya,Individual
CUST-00039,Surabaya,Individual
CUST-00040,Palembang,Individual
CUST-00041,Semarang,Individual
CUST-00042,Palembang,Individual
CUST-00043,Balikpapan,nan
CUST-00044,Denpasar,Individual
CUST-00045,Semarang,Individual
CUST-00046,Jakarta,Individual
CUST-00047,Surabaya,Individual
CUST-00048,Balikpapan,Individual
CUST-00049,Medan,Individual
CUST-00050,Makassar,Individual
CUST-00051,Yogyakarta,Corporate
CUST-00052,Yogyakarta,Individual
CUST-00053,Yogyakarta,Corporate
CUST-00054,Jakarta,Individual
CUST-00055,Surabaya,Individual
CUST-00056,Jakarta,Individual
CUST-00057,Palembang,Corporate
CUST-00058,Bandung,Individual
CUST-00059,Denpasar,nan
CUST-00060,Balikpapan,Individual
CUST-00061,Palembang,Individual
CUST-00062,Bandung,Corporate
CUST-00063,Semarang,nan
CUST-00064,Bandung,Corporate
CUST-00065,Semarang,Individual
CUST-00066,Balikpapan,Corporate
CUST-00067,Surabaya,Individual
CUST-00068,Palembang,Individual
CUST-00069,Makassar,Individual
CUST-00070,Denpasar,Corporate
CUST-00071,Medan,nan
CUST-00072,Balikpapan,Individual
CUST-00073,Balikpapan,Corporate
CUST-00074,Yogyakarta,Corporate
CUST-00075,Jakarta,Corporate
CUST-00076,Jakarta,nan
CUST-00077,Bandung,Individual
CUST-00078,Yogyakarta,Individual
CUST-00079,Balikpapan,nan
CUST-00080,Jakarta,Individual
CUST-00081,Bandung,Corporate
CUST-00082,Palembang,Individual
CUST-00083,Yogyakarta,Individual
CUST-00084,Makassar,nan
CUST-00085,Palembang,Individual
CUST-00086,Medan,nan
CUST-00087,Semarang,Individual
CUST-00088,Surabaya,Individual
CUST-00089,Jakarta,Individual
CUST-00090,Bandung,Individual
CUST-00091,Surabaya,nan
CUST-00092,Bandung,Individual
CUST-00093,Semarang,Individual
CUST-00094,Palembang,nan
CUST-00095,Denpasar,Individual
CUST-00096,Semarang,Corporate
CUST-00097,Denpasar,Individual
CUST-00098,Jakarta,Individual
CUST-00099,Makassar,Individual
CUST-00100,Denpasar,Individual
CUST-00101,Yogyakarta,Individual
CUST-00102,Bandung,Corporate
CUST-00103,Balikpapan,Individual
CUST-00104,Palembang,Individual
CUST-00105,Makassar,Individual
CUST-00106,Makassar,nan
CUST-00107,Bandung,Corporate
CUST-00108,Yogyakarta,Corporate
CUST-00109,Semarang,nan
CUST-00110,Yogyakarta,Corporate
CUST-00111,Jakarta,Individual
CUST-00112,Balikpapan,Corporate
CUST-00113,Palembang,Corporate
CUST-00114,Denpasar,Individual
CUST-00115,Bandung,Individual
CUST-00116,Balikpapan,nan
CUST-00117,Surabaya,Individual
CUST-00118,Jakarta,Individual
CUST-00119,Denpasar,Individual
CUST-00120,Jakarta,Individual
CUST-00121,Bandung,Corporate
CUST-00122,Makassar,Individual
CUST-00123,Bandung,Individual
CUST-00124,Makassar,Corporate
CUST-00125,Bandung,Individual
CUST-00126,Jakarta,Corporate
CUST-00127,Bandung,Individual
CUST-00128,Makassar,nan
CUST-00129,Medan,nan
CUST-00130,Yogyakarta,Individual
CUST-00131,Jakarta,nan
CUST-00132,Semarang,Individual
CUST-00133,Bandung,Corporate
CUST-00134,Bandung,Individual
CUST-00135,Semarang,Individual
CUST-00136,Surabaya,Individual
CUST-00137,Surabaya,Corporate
CUST-00138,Denpasar,Individual
CUST-00139,Medan,Individual
CUST-00140,Semarang,nan
CUST-00141,Balikpapan,Individual
CUST-00142,Makassar,Corporate
CUST-00143,Denpasar,Individual
CUST-00144,Balikpapan,Individual
CUST-00145,Balikpapan,Corporate
CUST-00146,Bandung,Individual
CUST-00147,Jakarta,Individual
CUST-00148,Surabaya,Individual
CUST-00149,Jakarta,Individual
CUST-00150,Jakarta,Individual
CUST-00151,Surabaya,Individual
CUST-00152,Semarang,Individual
CUST-00153,Balikpapan,Corporate
CUST-00154,Semarang,Individual
CUST-00155,Balikpapan,Corporate
CUST-00156,Semarang,Corporate
CUST-00157,Medan,Individual
CUST-00158,Makassar,Individual
CUST-00159,Medan,Corporate
CUST-00160,Semarang,Individual
CUST-00161,Denpasar,Individual
CUST-00162,Yogyakarta,nan
CUST-00163,Balikpapan,Individual
CUST-00164,Balikpapan,Corporate
CUST-00165,Balikpapan,Corporate
CUST-00166,Bandung,nan
CUST-00167,Medan,Corporate
CUST-00168,Denpasar,nan
CUST-00169,Bandung,Individual
CUST-00170,Yogyakarta,Individual
CUST-00171,Medan,Individual
CUST-00172,Palembang,Individual
